rank,ticker,theme,action,total_score,market_score,theme_score,leader_score,setup_score,breakout_score,price,ema8,ema21,ema50,relative_20d_pct,relative_60d_pct,volume_ratio,gap_to_breakout_pct,avg_dollar_volume_20d,trigger,stop,target_2r,stop_distance_pct,max_position_pct_at_configured_risk
1,CVX,energy,DEFENSIVE,68.37,0.0,19.45,17.71,19.2,12.0,217.77,212.66,207.18,198.67,10.35,25.09,1.21,-0.06,1718098572.0,217.87,208.79,235.72,4.12,24.26
2,COP,energy,DEFENSIVE,66.17,0.0,19.45,19.23,18.49,9.0,141.22,137.08,133.19,126.63,12.69,30.52,1.03,-0.99,898776650.0,139.96,133.68,152.51,4.48,22.3
3,CRWD,cyber_security,DEFENSIVE,63.06,0.0,17.85,22.0,11.2,12.0,242.49,221.28,213.53,202.32,15.34,40.2,1.45,-1.29,2873966751.0,239.61,213.53,300.41,11.94,8.37
4,OKTA,cyber_security,DEFENSIVE,60.85,0.0,17.85,23.76,11.23,8.0,190.45,175.62,164.05,150.09,34.94,60.23,0.91,-0.38,821222701.0,189.91,166.46,236.8,12.35,8.1
5,XOM,energy,DEFENSIVE,58.3,0.0,19.45,16.39,18.46,4.0,169.32,164.96,162.2,157.42,6.85,22.23,0.88,0.08,2374902055.0,169.62,162.32,184.21,4.3,23.25
6,FTNT,cyber_security,DEFENSIVE,52.78,0.0,17.85,16.48,13.45,5.0,172.37,163.28,160.78,156.16,12.58,17.67,1.03,0.88,732183673.0,174.06,160.78,200.64,7.63,13.1
7,ZS,cyber_security,DEFENSIVE,52.23,0.0,17.85,14.87,11.51,8.0,193.89,178.3,174.99,166.95,7.1,53.87,1.21,0.12,647597358.0,194.31,174.99,232.96,9.94,10.06
8,FANG,energy,DEFENSIVE,50.72,0.0,19.45,14.64,15.63,1.0,211.52,205.35,202.97,199.09,4.52,14.48,1.06,2.54,412429730.0,217.12,206.12,239.11,5.06,19.75
9,META,internet_consumer,DEFENSIVE,48.06,0.0,9.8,16.16,13.1,9.0,670.24,641.36,613.29,602.62,19.78,14.69,1.01,-0.24,12394805847.0,669.27,624.28,759.24,6.72,14.88
10,NET,ai_software,DEFENSIVE,44.73,0.0,16.7,18.21,9.82,0.0,327.23,310.47,300.02,285.49,8.56,44.62,0.98,2.25,994923493.0,334.93,300.16,404.49,10.38,9.63
11,MSFT,ai_software,DEFENSIVE,44.63,0.0,16.7,14.85,13.08,0.0,497.12,498.1,492.09,467.75,5.66,29.85,0.86,4.16,10213812208.0,518.3,497.03,560.84,4.1,24.37
12,PANW,cyber_security,DEFENSIVE,42.6,0.0,17.85,15.22,9.53,0.0,375.09,353.36,352.52,341.0,1.8,28.91,0.99,3.26,2442757697.0,387.72,352.52,458.11,9.08,11.02
13,NOW,ai_software,DEFENSIVE,42.16,0.0,16.7,16.0,9.46,0.0,141.9,137.72,133.65,124.48,22.54,47.88,0.88,5.43,2347734576.0,149.75,134.91,179.42,9.91,10.09
14,TEM,ai_software,DEFENSIVE,42.13,0.0,16.7,18.81,6.61,0.0,68.85,63.37,61.73,58.02,35.3,34.0,0.99,5.97,572129111.0,73.03,64.4,90.29,11.81,8.46
15,JPM,financials_fintech,DEFENSIVE,42.03,0.0,11.9,10.46,12.66,7.0,352.49,354.09,355.01,349.25,-0.37,7.45,2.11,3.76,2178117709.0,366.12,355.01,388.33,3.03,25.0
16,PLTR,ai_software,DEFENSIVE,37.73,0.0,16.7,12.52,7.52,1.0,172.56,172.09,171.11,160.76,1.98,32.89,1.07,9.16,5040082133.0,188.56,173.46,218.75,8.01,12.49
17,MRNA,biotech,DEFENSIVE,37.49,0.0,12.5,21.49,3.5,0.0,143.77,142.74,130.71,105.08,125.02,123.35,0.24,22.88,4993649504.0,176.84,156.0,218.51,11.78,8.49
18,HAL,energy,DEFENSIVE,37.33,0.0,19.45,9.3,8.58,0.0,35.67,35.99,35.59,35.19,5.16,1.17,0.86,6.7,390560464.0,38.1,35.71,42.88,6.28,15.94
19,SLB,energy,DEFENSIVE,37.2,0.0,19.45,11.94,4.81,1.0,54.2,55.47,54.99,53.24,3.13,11.86,1.0,10.97,695948495.0,60.21,55.78,69.06,7.35,13.6
20,APP,ai_software,DEFENSIVE,36.8,0.0,16.7,4.86,11.24,4.0,331.46,322.21,325.51,362.93,8.22,-30.86,1.42,2.08,1513856867.0,338.68,325.51,365.01,3.89,25.0
21,GOOGL,internet_consumer,DEFENSIVE,35.32,0.0,9.8,6.66,14.87,4.0,344.98,340.96,341.85,345.87,2.33,-7.63,0.9,1.85,8272679086.0,351.73,341.85,371.48,2.81,25.0
22,MS,financials_fintech,DEFENSIVE,33.37,0.0,11.9,6.12,8.35,7.0,206.28,211.37,213.22,212.76,-3.49,-8.49,1.85,6.91,880201963.0,220.75,213.22,235.81,3.41,25.0
23,SNOW,ai_software,DEFENSIVE,33.24,0.0,16.7,14.91,1.63,0.0,322.98,329.25,325.59,304.12,-0.18,37.62,0.73,19.07,1768263447.0,384.94,349.07,456.69,9.32,10.73
24,COIN,financials_fintech,DEFENSIVE,32.83,0.0,11.9,12.61,1.32,7.0,172.11,178.78,175.49,170.64,16.3,3.99,1.72,13.79,1860756222.0,196.05,175.49,237.16,10.48,9.54
